2612.68 4.52553e-33  1.57064e-34 1.6481e-33 0  6.33069e-33 3.70128e-22
2465.81 4.48609e-33  1.65427e-34 1.3855e-33 0  6.03701e-33 3.72225e-22
2327.2 4.44665e-33  1.74229e-34 1.16474e-33 0  5.78561e-33 3.74246e-22
2196.39 4.4072e-33  1.83492e-34 9.79156e-34 0  5.56985e-33 3.76193e-22
2072.92 4.36776e-33  1.9324e-34 8.23143e-34 0  5.38414e-33 3.78066e-22
1956.4 4.32831e-33  2.03499e-34 6.91987e-34 0  5.2238e-33 3.79867e-22
1846.42 4.28887e-33  2.14294e-34 5.8173e-34 0  5.08489e-33 3.81598e-22
1742.63 4.24943e-33  2.25653e-34 4.8904e-34 0  4.96412e-33 3.83259e-22
1644.68 4.20999e-33  2.37604e-34 4.11119e-34 0  4.85871e-33 3.84854e-22
1552.23 4.17054e-33  2.50178e-34 3.45613e-34 0  4.76633e-33 3.86382e-22
1464.97 4.1311e-33  2.63407e-34 2.90545e-34 0  4.68505e-33 3.87847e-22
1382.62 4.09166e-33  2.77324e-34 2.44251e-34 0  4.61323e-33 3.89249e-22
1304.9 4.05222e-33  2.91964e-34 2.05334e-34 0  4.54952e-33 3.90591e-22
1231.55 4.01278e-33  3.07364e-34 1.72617e-34 0  4.49276e-33 3.91874e-22
1162.32 3.97334e-33  3.23562e-34 1.45113e-34 0  4.44201e-33 3.93101e-22
1096.99 3.9339e-33  3.40599e-34 1.21991e-34 0  4.39649e-33 3.94272e-22
1035.32 3.89446e-33  3.58517e-34 1.02554e-34 0  4.35553e-33 3.95391e-22
977.124 3.85502e-33  3.7736e-34 8.62136e-35 0  4.31859e-33 3.96458e-22
922.198 3.81558e-33  3.97176e-34 7.24767e-35 0  4.28523e-33 3.97476e-22
870.359 3.77614e-33  4.18013e-34 6.09287e-35 0  4.25508e-33 3.98446e-22
821.434 3.73671e-33  4.39922e-34 5.12206e-35 0  4.22785e-33 3.99371e-22
775.26 3.69727e-33  4.62957e-34 4.30594e-35 0  4.20329e-33 4.00251e-22
731.681 3.65784e-33  4.87175e-34 3.61985e-35 0  4.18121e-33 4.01089e-22
690.551 3.6184e-33  5.12634e-34 3.04309e-35 0  4.16147e-33 4.01886e-22
651.734 3.57897e-33  5.39396e-34 2.55822e-35 0  4.14395e-33 4.02645e-22
615.099 3.53954e-33  5.67526e-34 2.1506e-35 0  4.12857e-33 4.03366e-22
580.523 3.50011e-33  5.97093e-34 1.80794e-35 0  4.11528e-33 4.04051e-22
