1000 3.64214e-27  3.54363e-28 9.23824e-23 2.10776e-17  2.10777e-17 1.24026e-15
120.338 2.26605e-27  2.18071e-27 1.60989e-25 5.64926e-25  7.30361e-25 1.19137e-13
116.232 2.24348e-27  2.24461e-27 1.45067e-25 0  1.49555e-25 1.27913e-13
112.267 2.22091e-27  2.31029e-27 1.3072e-25 0  1.35251e-25 1.37331e-13
108.437 2.19833e-27  2.3778e-27 1.17792e-25 0  1.22368e-25 1.47428e-13
104.737 2.17576e-27  2.4472e-27 1.06143e-25 0  1.10766e-25 1.58267e-13
101.164 2.15318e-27  2.51852e-27 9.56455e-26 0  1.00317e-25 1.69894e-13
97.7124 2.13061e-27  2.59181e-27 8.61864e-26 0  9.09088e-26 1.82364e-13
94.3788 2.10803e-27  2.66713e-27 7.76627e-26 0  8.24378e-26 1.9574e-13
91.1589 2.08545e-27  2.74453e-27 6.9982e-26 0  7.4812e-26 2.1009e-13
88.0488 2.06287e-27  2.82405e-27 6.30609e-26 0  6.79478e-26 2.25483e-13
85.0449 2.04029e-27  2.90576e-27 5.68243e-26 0  6.17703e-26 2.41995e-13
82.1434 2.01771e-27  2.9897e-27 5.12045e-26 0  5.62119e-26 2.59704e-13
79.341 1.99512e-27  3.07594e-27 4.61404e-26 0  5.12115e-26 2.78699e-13
76.6341 1.97254e-27  3.16452e-27 4.15772e-26 0  4.67143e-26 2.99078e-13
74.0196 1.94995e-27  3.25551e-27 3.74653e-26 0  4.26708e-26 3.2093e-13
71.4943 1.92736e-27  3.34896e-27 3.37601e-26 0  3.90364e-26 3.44377e-13
69.0551 1.90477e-27  3.44493e-27 3.04213e-26 0  3.5771e-26 3.69523e-13
66.6992 1.88218e-27  3.54349e-27 2.74127e-26 0  3.28383e-26 3.96488e-13
64.4236 1.85959e-27  3.6447e-27 2.47016e-26 0  3.02059e-26 4.25413e-13
62.2257 1.83699e-27  3.74861e-27 2.22586e-26 0  2.78443e-26 4.56435e-13
60.1028 1.81439e-27  3.8553e-27 2.00573e-26 0  2.5727e-26 4.89703e-13
58.0523 1.79179e-27  3.96483e-27 1.80737e-26 0  2.38303e-26 5.25378e-13
56.0717 1.76919e-27  4.07726e-27 1.62862e-26 0  2.21327e-26 5.63655e-13
54.1587 1.74659e-27  4.19267e-27 1.46755e-26 0  2.06148e-26 6.04694e-13
52.311 1.72398e-27  4.31112e-27 1.32242e-26 0  1.92593e-26 6.4871e-13
50.5263 1.70137e-27  4.43268e-27 1.19163e-26 0  1.80504e-26 6.9591e-13
48.8025 1.67876e-27  4.55742e-27 1.07378e-26 0  1.6974e-26 7.46524e-13
47.1375 1.65615e-27  4.68542e-27 9.67586e-27 0  1.60174e-26 8.00804e-13
45.5294 1.63353e-27  4.81674e-27 8.71894e-27 0  1.51692e-26 8.59012e-13
43.976 1.61091e-27  4.95147e-27 7.85665e-27 0  1.4419e-26 9.21428e-13
42.4757 1.58829e-27  5.08967e-27 7.07964e-27 0  1.37576e-26 9.88361e-13
41.0266 1.56567e-27  5.23142e-27 6.37948e-27 0  1.31766e-26 1.06014e-12
39.6269 1.54304e-27  5.37681e-27 5.74856e-27 0  1.26684e-26 1.1371e-12
38.2749 1.52041e-27  5.5259e-27 5.18004e-27 0  1.22263e-26 1.21962e-12
36.9691 1.49777e-27  5.67878e-27 4.66774e-27 0  1.18443e-26 1.30811e-12
35.7079 1.47514e-27  5.83552e-27 4.20611e-27 0  1.15168e-26 1.403e-12
34.4896 1.4525e-27  5.99622e-27 3.79013e-27 0  1.12388e-26 1.50474e-12
33.3129 1.42985e-27  6.16094e-27 3.4153e-27 0  1.10061e-26 1.61383e-12
32.1764 1.40721e-27  6.32977e-27 3.07753e-27 0  1.08145e-26 1.7308e-12
31.0787 1.38456e-27  6.5028e-27 2.77317e-27 0  1.06605e-26 1.85621e-12
30.0184 1.3619e-27  6.68011e-27 2.49891e-27 0  1.05409e-26 1.99069e-12
28.9942 1.33925e-27  6.86178e-27 2.25177e-27 0  1.04528e-26 2.13488e-12
28.005 1.31658e-27  7.0479e-27 2.02907e-27 0  1.03936e-26 2.28946e-12
27.0496 1.29392e-27  7.23856e-27 1.8284e-27 0  1.03609e-26 2.45521e-12
26.1268 1.27125e-27  7.43384e-27 1.64758e-27 0  1.03527e-26 2.6329e-12
25.2354 1.24858e-27  7.63382e-27 1.48463e-27 0  1.0367e-26 2.82347e-12
24.3744 1.2259e-27  7.8386e-27 1.33781e-27 0  1.04023e-26 3.02772e-12
23.5429 1.20323e-27  8.04826e-27 1.2055e-27 0  1.0457e-26 3.24674e-12
22.7397 1.18054e-27  8.26289e-27 1.08628e-27 0  1.05297e-26 3.48154e-12
21.9639 1.15786e-27  8.48258e-27 9.78847e-28 0  1.06193e-26 3.73324e-12
21.2145 1.13517e-27  8.70742e-27 8.82041e-28 0  1.07246e-26 4.00318e-12
20.4907 1.11247e-27  8.93748e-27 7.94809e-28 0  1.08448e-26 4.29253e-12
19.7917 1.08978e-27  9.17287e-27 7.16204e-28 0  1.09789e-26 4.60274e-12
19.1164 1.06708e-27  9.41367e-27 6.45372e-28 0  1.11261e-26 4.93535e-12
18.4642 1.04438e-27  9.65996e-27 5.81546e-28 0  1.12859e-26 5.29192e-12
17.8343 1.02167e-27  9.91184e-27 5.24032e-28 0  1.14575e-26 5.67416e-12
17.2259 9.98964e-28  1.01694e-26 4.72207e-28 0  1.16406e-26 6.08392e-12
16.6382 9.76255e-28  1.04327e-26 4.25506e-28 0  1.18344e-26 6.52331e-12
16.0705 9.53544e-28  1.07018e-26 3.83424e-28 0  1.20388e-26 6.99433e-12
15.5223 9.30832e-28  1.09769e-26 3.45504e-28 0  1.22532e-26 7.49925e-12
14.9927 9.08118e-28  1.12579e-26 3.11335e-28 0  1.24774e-26 8.04048e-12
14.4812 8.85405e-28  1.15451e-26 2.80544e-28 0  1.2711e-26 8.62086e-12
13.9871 8.62691e-28  1.18384e-26 2.52799e-28 0  1.29538e-26 9.24256e-12
13.5099 8.39979e-28  1.21379e-26 2.27798e-28 0  1.32057e-26 9.9092e-12
13.049 8.17268e-28  1.24438e-26 2.05269e-28 0  1.34663e-26 1.0625e-11
12.6038 7.94559e-28  1.2756e-26 1.84968e-28 0  1.37355e-26 1.13914e-11
12.1738 7.71854e-28  1.30747e-26 1.66675e-28 0  1.40133e-26 1.2213e-11
11.7585 7.49153e-28  1.34e-26 1.50191e-28 0  1.42993e-26 1.30939e-11
11.3573 7.26458e-28  1.37318e-26 1.35338e-28 0  1.45936e-26 1.40382e-11
10.9699 7.03769e-28  1.40703e-26 1.21953e-28 0  1.4896e-26 1.50505e-11
10.5956 6.81088e-28  1.44155e-26 1.09892e-28 0  1.52065e-26 1.61357e-11
10.2341 6.58417e-28  1.47676e-26 9.90239e-29 0  1.5525e-26 1.72988e-11
9.88496 6.35757e-28  1.51264e-26 8.92306e-29 0  1.58514e-26 1.8546e-11
9.54772 6.1311e-28  1.54922e-26 8.04059e-29 0  1.61857e-26 1.98828e-11
9.22198 5.90478e-28  1.58648e-26 7.24539e-29 0  1.65278e-26 2.13157e-11
8.90735 5.67863e-28  1.62445e-26 6.52883e-29 0  1.68776e-26 2.28519e-11
8.60346 5.45268e-28  1.66311e-26 5.88314e-29 0  1.72352e-26 2.44987e-11
8.30994 5.22694e-28  1.70249e-26 5.30131e-29 0  1.76006e-26 2.62643e-11
8.02643 5.00146e-28  1.74257e-26 4.77702e-29 0  1.79736e-26 2.81566e-11
7.7526 4.77625e-28  1.78336e-26 4.30458e-29 0  1.83543e-26 3.01849e-11
7.4881 4.55136e-28  1.82486e-26 3.87887e-29 0  1.87425e-26 3.23596e-11
7.23263 4.32682e-28  1.86708e-26 3.49525e-29 0  1.91384e-26 3.46908e-11
6.98588 4.10266e-28  1.91001e-26 3.14958e-29 0  1.95419e-26 3.71896e-11
6.74754 3.87893e-28  1.95366e-26 2.83809e-29 0  1.99528e-26 3.98678e-11
6.51734 3.65568e-28  1.99802e-26 2.55741e-29 0  2.03713e-26 4.27397e-11
6.29499 3.43295e-28  2.04309e-26 2.30449e-29 0  2.07972e-26 4.58178e-11
6.08022 3.2108e-28  2.08887e-26 2.07658e-29 0  2.12306e-26 4.91173e-11
5.87279 2.98928e-28  2.13537e-26 1.87121e-29 0  2.16713e-26 5.26543e-11
5.67243 2.76846e-28  2.18257e-26 1.68615e-29 0  2.21194e-26 5.64456e-11
5.4789 2.5484e-28  2.23047e-26 1.51939e-29 0  2.25747e-26 6.05098e-11
5.29198 2.32918e-28  2.27906e-26 1.36913e-29 0  2.30372e-26 6.48661e-11
5.11143 2.11086e-28  2.32835e-26 1.23372e-29 0  2.35069e-26 6.95369e-11
4.93705 1.89354e-28  2.37832e-26 1.11171e-29 0  2.39837e-26 7.4542e-11
4.76861 1.67731e-28  2.42897e-26 1.00176e-29 0  2.44675e-26 7.99088e-11
4.60592 1.46225e-28  2.48029e-26 9.02691e-30 0  2.49581e-26 8.56613e-11
4.44878 1.24846e-28  2.53227e-26 8.13416e-30 0  2.54557e-26 9.18276e-11
4.297 1.03606e-28  2.5849e-26 7.32971e-30 0  2.59599e-26 9.84358e-11
4.1504 8.25162e-29  2.63816e-26 6.60481e-30 0  2.64708e-26 1.05522e-10
4.00881 6.15885e-29  2.69206e-26 5.95161e-30 0  2.69881e-26 1.13116e-10
3.87204 4.08362e-29  2.74657e-26 5.36301e-30 0  2.75119e-26 1.21257e-10
3.73994 2.02731e-29  2.80168e-26 4.83262e-30 0  2.80419e-26 1.29985e-10
3.61234 0  2.85738e-26 4.35468e-30 0  2.85782e-26 1.39338e-10
3.4891 0  2.91365e-26 3.92401e-30 0  2.91404e-26 1.49366e-10
