20827.5 5.94091e-27  2.39109e-29 0 4.62315e-17  4.62315e-17 3.47009e-17
20352.5 5.92517e-27  2.44211e-29 0 4.67724e-17  4.67724e-17 3.52445e-17
19888.3 5.90944e-27  2.49422e-29 0 4.73143e-17  4.73143e-17 3.57971e-17
19434.7 5.89371e-27  2.54743e-29 0 4.7857e-17  4.7857e-17 3.63567e-17
18991.4 5.87798e-27  2.60176e-29 0 4.84058e-17  4.84058e-17 3.69235e-17
18558.3 5.86225e-27  2.65724e-29 0 4.89494e-17  4.89494e-17 3.74976e-17
18135 5.84652e-27  2.71389e-29 0 4.94931e-17  4.94931e-17 3.8079e-17
17721.4 5.83079e-27  2.77174e-29 0 5.00368e-17  5.00368e-17 3.8668e-17
17317.2 5.81506e-27  2.83081e-29 0 5.05802e-17  5.05802e-17 3.92662e-17
16922.2 5.79933e-27  2.89113e-29 0 5.11231e-17  5.11231e-17 3.98671e-17
16536.2 5.7836e-27  2.95272e-29 0 5.16651e-17  5.16651e-17 4.04787e-17
16159.1 5.76787e-27  3.01561e-29 0 5.22061e-17  5.22061e-17 4.10972e-17
15790.5 5.75213e-27  3.07983e-29 0 5.27457e-17  5.27457e-17 4.17235e-17
15430.4 5.7364e-27  3.14541e-29 0 5.32838e-17  5.32838e-17 4.23574e-17
15078.5 5.72067e-27  3.21237e-29 0 5.38199e-17  5.38199e-17 4.29991e-17
14734.5 5.70494e-27  3.28074e-29 0 5.43539e-17  5.43539e-17 4.36484e-17
14398.5 5.68921e-27  3.35055e-29 0 5.48854e-17  5.48854e-17 4.43057e-17
14070.1 5.67348e-27  3.42183e-29 0 5.54141e-17  5.54141e-17 4.49718e-17
13749.2 5.65775e-27  3.49462e-29 0 5.59396e-17  5.59396e-17 4.5644e-17
13435.6 5.64202e-27  3.56893e-29 0 5.64617e-17  5.64617e-17 4.63249e-17
13129.1 5.62629e-27  3.64482e-29 0 5.69801e-17  5.69801e-17 4.70146e-17
12829.7 5.61056e-27  3.7223e-29 0 5.74943e-17  5.74943e-17 4.77112e-17
12537.1 5.59483e-27  3.80141e-29 0 5.8004e-17  5.8004e-17 4.84166e-17
12251.1 5.5791e-27  3.88219e-29 0 5.85089e-17  5.85089e-17 4.91303e-17
11971.7 5.56336e-27  3.96467e-29 0 5.90086e-17  5.90086e-17 4.98517e-17
11698.7 5.54763e-27  4.04888e-29 0 5.95027e-17  5.95027e-17 5.05813e-17
11431.8 5.5319e-27  4.13487e-29 0 5.99909e-17  5.99909e-17 5.13202e-17
11171.1 5.51617e-27  4.22266e-29 0 6.04727e-17  6.04727e-17 5.20659e-17
10916.3 5.50044e-27  4.3123e-29 0 6.09478e-17  6.09478e-17 5.28204e-17
10667.3 5.48471e-27  4.40382e-29 0 6.14157e-17  6.14157e-17 5.35833e-17
10424 5.46898e-27  4.49726e-29 0 6.1876e-17  6.1876e-17 5.43553e-17
10186.3 5.45325e-27  4.59267e-29 0 6.23283e-17  6.23283e-17 5.51357e-17
9953.96 5.43752e-27  4.69008e-29 0 6.27722e-17  6.27722e-17 5.59243e-17
9726.93 5.42179e-27  4.78954e-29 0 6.32072e-17  6.32072e-17 5.67215e-17
9505.08 5.40606e-27  4.89108e-29 0 6.3633e-17  6.3633e-17 5.75272e-17
