1     7.36919e+25     0     1.08215e+24     8.87499e+24     2.66362e+25     5.13859e+25
1.1     6.60358e+25     0     1.07819e+24     8.36883e+24     2.43357e+25     4.63406e+25
1.2     5.98126e+25     0     1.07753e+24     7.95749e+24     2.24927e+25     4.18054e+25
1.3     5.46641e+25     0     1.07942e+24     7.61727e+24     2.09836e+25     3.8174e+25
1.4     5.03397e+25     0     1.08329e+24     7.52283e+24     1.99585e+25     3.54458e+25
1.5     4.666e+25     0     1.08872e+24     7.24692e+24     1.91186e+25     3.3247e+25
1.6     4.34931e+25     0     1.09537e+24     7.01231e+24     1.81098e+25     3.10628e+25
1.7     4.07404e+25     0     1.10301e+24     6.8108e+24     1.72475e+25     2.91878e+25
1.8     3.83266e+25     0     1.11144e+24     6.63619e+24     1.65019e+25     2.75765e+25
1.9     3.61933e+25     0     1.1205e+24     6.48374e+24     1.58507e+25     2.64157e+25
2     3.42948e+25     0     1.13007e+24     6.34973e+24     1.52772e+25     2.51404e+25
2.1     3.25945e+25     0     1.14005e+24     6.23123e+24     1.47682e+25     2.40198e+25
2.2     3.10632e+25     0     1.15035e+24     6.1259e+24     1.43134e+25     2.30273e+25
2.3     2.96769e+25     0     1.16092e+24     6.03183e+24     1.39046e+25     2.21422e+25
2.4     2.84159e+25     0     1.17169e+24     5.94746e+24     1.35352e+25     2.1348e+25
2.5     2.72641e+25     0     1.18263e+24     5.87151e+24     1.31998e+25     2.06313e+25
2.6     2.62078e+25     0     1.19368e+24     5.8029e+24     1.30644e+25     2.01798e+25
2.7     2.52356e+25     0     1.20483e+24     5.74072e+24     1.27621e+25     1.95603e+25
2.8     2.43378e+25     0     1.21604e+24     5.68423e+24     1.24859e+25     1.89959e+25
2.9     2.35061e+25     0     1.22729e+24     5.63276e+24     1.22326e+25     1.84794e+25
3     2.27335e+25     0     1.23856e+24     5.58576e+24     1.19996e+25     1.8005e+25
3.1     2.20137e+25     0     1.24983e+24     5.54276e+24     1.17844e+25     1.75678e+25
3.2     2.13416e+25     0     1.2611e+24     5.50334e+24     1.15852e+25     1.71635e+25
3.3     2.07125e+25     0     1.27234e+24     5.46713e+24     1.14002e+25     1.67886e+25
3.4     2.01223e+25     0     1.28355e+24     5.43382e+24     1.1228e+25     1.65473e+25
3.5     1.95675e+25     0     1.29472e+24     5.40313e+24     1.10673e+25     1.62097e+25
3.6     1.90449e+25     0     1.30583e+24     5.37482e+24     1.0917e+25     1.58951e+25
3.7     1.85519e+25     0     1.31689e+24     5.34867e+24     1.07761e+25     1.56012e+25
3.8     1.80859e+25     0     1.32789e+24     5.32449e+24     1.06438e+25     1.53261e+25
3.9     1.76447e+25     0     1.33882e+24     5.30211e+24     1.05193e+25     1.5068e+25
4     1.72263e+25     0     1.34969e+24     5.28138e+24     1.0402e+25     1.48254e+25
4.1     1.68291e+25     0     1.36047e+24     5.26215e+24     1.02912e+25     1.45968e+25
4.2     1.64513e+25     0     1.37118e+24     5.24431e+24     1.01865e+25     1.43812e+25
4.3     1.60916e+25     0     1.38181e+24     5.22773e+24     1.00874e+25     1.41774e+25
4.4     1.57487e+25     0     1.39235e+24     5.21234e+24     9.99335e+24     1.39845e+25
4.5     1.54215e+25     0     1.40281e+24     5.19802e+24     9.90409e+24     1.38016e+25
4.6     1.51087e+25     0     1.41318e+24     5.1847e+24     9.81923e+24     1.3628e+25
4.7     1.48095e+25     0     1.42347e+24     5.17231e+24     9.73847e+24     1.34629e+25
4.8     1.4523e+25     0     1.43366e+24     5.16078e+24     9.66151e+24     1.33059e+25
4.9     1.42484e+25     0     1.44377e+24     5.15003e+24     9.5881e+24     1.31562e+25
5     1.39849e+25     0     1.45378e+24     5.14003e+24     9.51799e+24     1.30134e+25
5.1     1.37318e+25     0     1.46371e+24     5.13071e+24     9.45098e+24     1.2877e+25
5.2     1.34886e+25     0     1.47354e+24     5.12202e+24     9.38687e+24     1.27465e+25
5.3     1.32546e+25     0     1.48328e+24     5.11393e+24     9.32546e+24     1.26217e+25
5.4     1.30293e+25     0     1.49292e+24     5.10638e+24     9.26661e+24     1.25022e+25
5.5     1.28122e+25     0     1.50248e+24     5.09936e+24     9.21014e+24     1.23875e+25
5.6     1.26029e+25     0     1.51194e+24     5.09281e+24     9.15593e+24     1.22775e+25
5.7     1.24009e+25     0     1.52131e+24     5.0867e+24     9.10383e+24     1.21718e+25
5.8     1.22059e+25     0     1.53059e+24     5.08102e+24     9.05373e+24     1.20702e+25
5.9     1.20174e+25     0     1.53977e+24     5.07572e+24     9.00551e+24     1.19725e+25
6     1.18352e+25     0     1.54887e+24     5.07079e+24     8.95908e+24     1.18784e+25
6.1     1.16589e+25     0     1.55787e+24     5.0662e+24     8.91433e+24     1.17878e+25
6.2     1.14882e+25     0     1.56678e+24     5.06193e+24     8.87117e+24     1.17004e+25
6.3     1.13229e+25     0     1.5756e+24     5.05796e+24     8.82952e+24     1.1616e+25
6.4     1.11627e+25     0     1.58433e+24     5.05427e+24     8.7893e+24     1.15346e+25
6.5     1.10073e+25     0     1.59297e+24     5.05084e+24     8.75044e+24     1.1456e+25
6.6     1.08566e+25     0     1.60152e+24     5.04765e+24     8.71287e+24     1.138e+25
6.7     1.07103e+25     0     1.60998e+24     5.0447e+24     8.67652e+24     1.13064e+25
6.8     1.05681e+25     0     1.61835e+24     5.04195e+24     8.64134e+24     1.12353e+25
6.9     1.043e+25     0     1.62664e+24     5.03941e+24     8.60727e+24     1.11664e+25
7     1.02958e+25     0     1.63483e+24     5.03706e+24     8.57425e+24     1.10996e+25
