1     7.36919e+25     0     1.08215e+24     8.87499e+24     2.66362e+25     5.13859e+25     7.7398e+23
2     3.42948e+25     0     1.13007e+24     6.34973e+24     1.52772e+25     2.51404e+25     6.98392e+23
3     2.27335e+25     0     1.23856e+24     5.58576e+24     1.19996e+25     1.8005e+25     6.58142e+23
4     1.72263e+25     0     1.34969e+24     5.28138e+24     1.0402e+25     1.48254e+25     6.27308e+23
5     1.39849e+25     0     1.45378e+24     5.14003e+24     9.51799e+24     1.30134e+25     5.99952e+23
6     1.18352e+25     0     1.54887e+24     5.07079e+24     8.95908e+24     1.18784e+25     5.72461e+23
7     1.02958e+25     0     1.63483e+24     5.03706e+24     8.57425e+24     1.10996e+25     5.43605e+23
8     9.1325e+24     0     1.71211e+24     5.02159e+24     8.29251e+24     1.05306e+25     5.09784e+23
9     8.21772e+24     0     1.78125e+24     5.0154e+24     8.0761e+24     1.00951e+25     4.69455e+23
10     7.47577e+24     0     1.8428e+24     5.01345e+24     7.90307e+24     9.74903e+24     4.19936e+23
20     3.80442e+24     0     2.12581e+24     4.88004e+24     6.90403e+24     7.96591e+24     0
30     2.14916e+24     0     1.96778e+24     4.23231e+24     5.68975e+24     6.34958e+24     0
40     1.03835e+24     0     1.61028e+24     3.18481e+24     4.0111e+24     4.30937e+24     0
50     4.80187e+23     0     1.28501e+24     2.19019e+24     2.51926e+24     2.60007e+24     0
60     2.30458e+23     0     1.07328e+24     1.45943e+24     1.52941e+24     1.5379e+24     0
70     1.17253e+23     2.70114e+25     2.79715e+25     2.79715e+25     2.79715e+25     2.79715e+25     0
