100000 7.01061e-30  5.64186e-33 0 6.26841e-20  6.26841e-20 3.82814e-20
94378.8 6.97116e-30  5.95203e-33 0 6.3762e-20  6.3762e-20 3.97645e-20
89073.5 6.93172e-30  6.27914e-33 0 6.47776e-20  6.47776e-20 4.12945e-20
84066.5 6.89227e-30  6.6241e-33 0 6.57238e-20  6.57238e-20 4.28715e-20
79341 6.85282e-30  6.98788e-33 0 6.65931e-20  6.65931e-20 4.44973e-20
74881 6.81338e-30  7.37149e-33 0 6.73778e-20  6.73778e-20 4.6172e-20
70671.8 6.77393e-30  7.77601e-33 0 6.80704e-20  6.80704e-20 4.78956e-20
66699.2 6.73449e-30  8.20256e-33 0 6.86629e-20  6.86629e-20 4.9671e-20
62949.9 6.69504e-30  8.65234e-33 0 6.91477e-20  6.91477e-20 5.14966e-20
59411.3 6.65559e-30  9.1266e-33 0 6.95171e-20  6.95171e-20 5.33751e-20
56071.7 6.61615e-30  9.62666e-33 0 6.97635e-20  6.97635e-20 5.53055e-20
52919.8 6.5767e-30  1.01539e-32 0 6.98797e-20  6.98797e-20 5.72896e-20
49945.1 6.53726e-30  1.07098e-32 0 6.98588e-20  6.98588e-20 5.93276e-20
47137.5 6.49781e-30  1.12959e-32 0 6.96943e-20  6.96943e-20 6.14197e-20
44487.8 6.45837e-30  1.19139e-32 0 6.93803e-20  6.93803e-20 6.35666e-20
41987.1 6.41892e-30  1.25653e-32 0 6.89116e-20  6.89116e-20 6.5769e-20
39626.9 6.37947e-30  1.32521e-32 0 6.82837e-20  6.82837e-20 6.80276e-20
37399.4 6.34003e-30  1.39762e-32 0 6.74931e-20  6.74931e-20 7.03401e-20
35297.1 6.30058e-30  1.47394e-32 0 6.65374e-20  6.65374e-20 7.27106e-20
33312.9 6.26114e-30  1.55441e-32 0 6.54152e-20  6.54152e-20 7.51387e-20
31440.4 6.22169e-30  1.63923e-32 0 6.41266e-20  6.41266e-20 7.76229e-20
29673 6.18224e-30  1.72863e-32 0 6.26729e-20  6.26729e-20 8.0163e-20
28005 6.1428e-30  1.82287e-32 0 6.10571e-20  6.10571e-20 8.2763e-20
26430.8 6.10335e-30  1.92221e-32 0 5.92838e-20  5.92838e-20 8.54187e-20
24945.1 6.06391e-30  2.02691e-32 1.43444e-24 5.73591e-20  5.73605e-20 8.81328e-20
23542.9 6.02446e-30  2.13727e-32 1.20588e-24 5.52911e-20  5.52923e-20 9.09036e-20
22219.5 5.98502e-30  2.25358e-32 1.01374e-24 5.30896e-20  5.30906e-20 9.37296e-20
20970.5 5.94557e-30  2.37616e-32 8.52217e-25 5.07661e-20  5.07669e-20 9.66156e-20
19791.7 5.90612e-30  2.50536e-32 7.1643e-25 4.83339e-20  4.83346e-20 9.95566e-20
18679.1 5.86668e-30  2.64151e-32 6.02277e-25 4.58081e-20  4.58087e-20 1.02555e-19
